PropertyReferenceID,Name,Address,PostcodeZip,Telephone,Fax,Resort,ResortID,Region,RegionID,Country,PropertyType,Rating,Latitude,Longitude
896,Hotel San Teodoro,Località Badualga,08020,+39 0784 851092,+39 0784 851513,San Teodoro,183,Olbia & Vicinity,6,Italy,Hotel,4,40.76262,9.65335
897,Hotel Scintilla,"Via del Tirreno, 11",08020,+39 0784 865519,+39 0784 865565,San Teodoro,183,Olbia & Vicinity,6,Italy,Hotel,3,40.77997,9.67255
899,Residence Approdo Verde,"Via Cala D'Ambra, 32",08020,+39 0784 1876183,+39 0784 1870183,San Teodoro,183,Olbia & Vicinity,6,Italy,Residence,0,40.7703,9.67302
902,Romeo Hotel,"Via Cristoforo Colombo, 45",80133,+39 081 017 5001,+39 081 6041599,Port of Naples,340,Naples & Vicinity,73,Italy,Hotel,5,40.84068,14.25574
903,Colonna Country & Sporting Club,Loc. Cala Granu,07021,+39 0789 91818,+39 0789 91121,Porto Cervo,595,Olbia & Vicinity,6,Italy,Hotel,4,41.1423,9.52421
904,Colonna Park Hotel,Località Porto Cervo Marina,07020,+39 0789 91238,+39 0789 91178,Porto Cervo,595,Olbia & Vicinity,6,Italy,Hotel,4,41.13734,9.52299
905,CPH Pevero Hotel,Località Golfo del Pevero,07021,+39 0789 907009,+39 0789 92064,Porto Cervo,595,Olbia & Vicinity,6,Italy,Hotel,5,41.11146,9.53936
906,Colonna Resort,Via Capo Ferro 1.8 km,07020,+39 0789 900046,+39 0789 91199,Porto Cervo,595,Olbia & Vicinity,6,Italy,Hotel,5,41.1514,9.52742
907,Grand Hotel in Porto Cervo,Località Cala Granu,07020,+39 0789 91533,+39 0789 91508,Porto Cervo,595,Olbia & Vicinity,6,Italy,Hotel,4,41.14458,9.52486
908,Hotel Luci di la Muntagna,"Via Sa Conca, 55",07021,+39 0789 94510,+39 0789 92229,Porto Cervo,595,Olbia & Vicinity,6,Italy,Hotel,4,41.13251,9.53028
909,Residence Bougainvillae,Via della Marina,07021,+39 0789 91640,+39 0789 91717,Porto Cervo,595,Olbia & Vicinity,6,Italy,Residence,0,41.13803,9.524
912,Residence Liscia Eldi,Via L'Isuledda,08020,+39 0784840301,+39 0784841017,San Teodoro,183,Olbia & Vicinity,6,Italy,Residence,0,40.76439,9.6841
913,Residence Stella Marina,Via dei Giudicati,07052,+39 338 5844407,,San Teodoro,183,Olbia & Vicinity,6,Italy,Residence,0,40.77405,9.66961
916,Baglio La Porta di San Gerardo,C.da Sauci Grande,91010,+39 0923 974216,+39 0923 972559,San Vito lo Capo,129,Sicily,3,Italy,Hotel,0,38.13553,12.77742
917,Hotel Ghibli,Viale Regina Margherita 80,91010,+39 0923 974155,+39 0923 621566,San Vito lo Capo,129,Sicily,3,Italy,Hotel,3,38.17496,12.73567
919,Hotel Altamarea,"Via Cavour, 104",91010,+39 0923 972503,+39 0923 974506,San Vito lo Capo,129,Sicily,3,Italy,Hotel,3,38.17384,12.73962
921,Hotel Capo San Vito,"Via San Vito, 1",91010,+39 0923 972122,+39 0923 972559,San Vito lo Capo,129,Sicily,3,Italy,Hotel,4,38.17708,12.73427
922,Hotel Gardenia,Via Dante Alighieri 3,91010,+39 0923 972188,+39 0923 972402,San Vito lo Capo,129,Sicily,3,Italy,Hotel,2,38.17556,12.73629
923,Hotel Sicilya,"Via Arimondi, 61",91010,+39 0923621062,+ 39 0923974639,San Vito lo Capo,129,Sicily,3,Italy,Hotel,3,38.17484,12.73514
924,Hotel Ristorante Mediterraneo Faro,"Via Faro, 39",91010,+ 39 0923 972027,+ 39 0923 974548,San Vito lo Capo,129,Sicily,3,Italy,Hotel,3,38.17906,12.73095
926,Case Gaia,"Via Piersanti Mattarella, 210",91010,+39 0923 972231,+39 0923621121,San Vito lo Capo,129,Sicily,3,Italy,Appartamento,0,38.17284,12.73352
928,Panoramic Hotel,"Via Eboli, 33",91010,+39 0923 972511,+39 0923 62117,San Vito lo Capo,129,Sicily,3,Italy,Hotel,4,38.1806,12.72789
930,Residence Il Melograno,"Via Giardini, 49",91010,+39 0923 972592 / +39 3398789390,+39 0923 972447,San Vito lo Capo,129,Sicily,3,Italy,Case Vacanza,0,38.17432,12.73847
940,Hotel Villa Romana,Via Lungomare Nettuno 1,92014,+39 0922 535319,+39 0922 636641,Porto Empedocle,94,Sicily,3,Italy,Hotel,4,37.28962,13.495
945,Baia delle Palme,"SS 195 km 33, 200",09010,+39 3464758866,+39 0709209099,Santa Margherita di Pula,806,Cagliari & Vicinity,8943,Italy,Residence,0,38.97569,8.98699
946,Hotel Costa dei Fiori,S.S. 195 Km.33,09010,+39 070 9245333,+39 070 9245335,Santa Margherita di Pula,806,Cagliari & Vicinity,8943,Italy,Hotel,4,38.97733,8.98978
947,Hotel Flamingo Resort,"S.S. 195 Km 33,800",09010,+39 070 9208361,+39 070 9208359,Santa Margherita di Pula,806,Cagliari & Vicinity,8943,Italy,Hotel,4,38.96677,8.9796
948,Hotel Mare Pineta,"S.S. 195 KM 33,800",09010,+39 070 9209406,+39 070 9208359,Santa Margherita di Pula,806,Cagliari & Vicinity,8943,Italy,Hotel,3,38.96899,8.98346
949,Hotel Rocca Dorada,Strada Statale 195 Km. 41,09010,+39 0709290037,+39 0709290150,Santa Margherita di Pula,806,Cagliari & Vicinity,8943,Italy,Hotel,4,38.92654,8.91076
950,Is Morus Relais Hotel & Ville,"SS 195 - KM 37,400",09010,+39 070 921171,+39 070 921596,Santa Margherita di Pula,806,Cagliari & Vicinity,8943,Italy,Hotel,4,38.94444,8.94851
954,Prince Franklyn Hotel,Santa Maria di Castellabate (zona Lago),84048,+39 0974 965348,+39 0974 968324,Castellabate,277,Cilento,72,Italy,Hotel,4,40.29933,14.95357
955,Villa Sirio,"Via Lungomare de Simone, 15",84072,+39 0974 965251,+39 0974 960507,Castellabate,277,Cilento,72,Italy,Hotel,4,40.28736,14.94613
956,Hotel Mediterraneo,Via Lungomare,08040,+39 0782 615380,+39 0782 615428,Santa Maria Navarrese,174,Cagliari & Vicinity,8943,Italy,Hotel,3,39.98436,9.68541
957,NH Collection Palazzo Gaddi,"Via del Giglio, 9",50123,+39 055 2398095,+39 055 214632,San Lorenzo Florence,578,Florence,137,Italy,Hotel,5,43.77414,11.25148
959,C-Hotels Ambasciatori,"Via Luigi Alamanni, 3",50123,+39 055287421,+39 055214456,Florence Santa Maria Novella Station,368,Florence,137,Italy,Hotel,4,43.77606,11.24666
965,Club Esse Gallura Beach Village,Via di Tor Vergata,07020,+39 06 45439344,+39 06 89281079,Santa Teresa di Gallura,198,Olbia & Vicinity,6,Italy,Villaggio,3,41.13931,9.13321
966,Hotel Corallaro,Località Rena Bianca,07028,+39 0789 755475,+39 0789 755431,Santa Teresa di Gallura,198,Olbia & Vicinity,6,Italy,Hotel,4,41.24344,9.18831
967,Hotel La Funtana Adults Only,"Via Nazionale, 69",07028,+39 0789 741025,+39 0789 741163,Santa Teresa di Gallura,198,Olbia & Vicinity,6,Italy,Hotel,4,41.23347,9.18614
968,Hotel Majore,"Via Lu Pultali, 10",07028,+39 0789 755001,+39 0789 755840,Santa Teresa di Gallura,198,Olbia & Vicinity,6,Italy,Hotel,4,41.2372,9.18872
969,Residence I Mirti Bianchi,"Via Tibula, 28",07028,+39 0789754975,,Santa Teresa di Gallura,198,Olbia & Vicinity,6,Italy,Residence,0,41.2397,9.18641
970,Residence Le Pavoncelle,Via Pertini,07028,+39 0789 754975,+39 079 2824639,Santa Teresa di Gallura,198,Olbia & Vicinity,6,Italy,Residence,0,41.23599,9.18976
971,Punta Falcone Resort,Località Ficaccia,07028,+39 0789 751474,,Santa Teresa di Gallura,198,Olbia & Vicinity,6,Italy,Residence,0,41.24249,9.21367
975,Hotel Corallo,"Via Nuovo Rione Cappuccini, 12",80065,+39 0818073355,+39 0818074407,Sant'Agnello,109,Sorrento Coast,68,Italy,Hotel,4,40.63509,14.39058
976,Majestic Palace Hotel,"Corso Marion Crawford, 40",80065,+39 081 8072050,+39 081 8772506,Sant'Agnello,109,Sorrento Coast,68,Italy,Hotel,4,40.63161,14.39343
979,Elihotel,"Via Lungomare, 274",98030,+39 0942 756110,+39 0942 751842,Sant'Alessio Siculo,38,Sicily,3,Italy,Hotel,4,37.91681,15.3447
986,Hotel Villa Calandrino,"Via Nocera Inferiore, 1",92019,+39 0925 905282,+39 0925 904904,Sciacca,96,Sicily,3,Italy,Hotel,4,37.51544,13.06586
989,Rocco Forte Verdura Resort,S.S. 115 Km 131,92019,+39 0925 998001,,Sciacca,96,Sicily,3,Italy,Hotel,5,37.46934,13.19715
995,Hotel Casa Celestino,"Via Chiaia di Rose, 20",80070,+39 081 999213,+39 081 999805,Sant'Angelo - Serrara Fontana,247,Ischia Island,67,Italy,Hotel,4,40.69731,13.89256
998,Hotel Casa Giuseppina,Via Provinciale Panza - Succhivo - Sant'Angelo n 9 B,80070,+39 081 907771,,Sant'Angelo - Serrara Fontana,247,Ischia Island,67,Italy,Hotel,3,40.70209,13.88447
1002,Miramare Sea Resort,"Via Maddalena Comandante, 29",80070,+39 081 999219,,Sant'Angelo - Serrara Fontana,247,Ischia Island,67,Italy,Hotel,5,40.69718,13.89456
1004,Costa del Capitano Seaside Villas,"Via Provinciale Succhivo, 36",80070,+39 081 909571,+39 081 909571,Sant'Angelo - Serrara Fontana,247,Ischia Island,67,Italy,Dimora di Charme,0,40.70122,13.88324
1006,Il Chiostro del Carmine,"Via della Diana, 4",53100,+39 0577226879,+39 0577271347,Siena,270,Tuscany,396,Italy,Hotel,4,43.3138,11.32737
1008,Minareto,"Via del Faro Massolivieri, 26",96100,+39 0931 721222,+39 0931 721655,Syracuse,56,Sicily,3,Italy,Hotel,5,37.04148,15.30114
1010,Hotel Borgo Pantano,Traversa Fontana Mortella 13,96100,+39 0931 721993,+39 0931 722247,Syracuse,56,Sicily,3,Italy,Hotel,4,37.03567,15.22619
1011,Hotel dei Coloniali,"Via del Porto Grande, 46",96100,+39 0931 464547,+39 0931 464547,Syracuse,56,Sicily,3,Italy,Hotel,4,37.06578,15.28316
1013,Hotel Panorama,"VIa Necropoli Grotticelle, 33",96100,+39 0931 412188,+39 0931 412527,Syracuse,56,Sicily,3,Italy,Hotel,4,37.08189,15.2755
1015,Borgo di Luce I Monasteri Golf Resort & Spa,"Traversa Monasteri di Sotto, 3",96010,+ 39 0931 911470,+ 39 0931 948341,Syracuse,56,Sicily,3,Italy,Masseria,5,37.05311,15.14065
1016,Lakkios Charming Suites and Rooms,Via Sbarcadero Santa Lucia 2/A,96100,+39 0931 465468,+39 0931 465468,Syracuse,56,Sicily,3,Italy,B&B,0,37.06944,15.29068
1019,VOI Arenella Resort,"Via Ognina, 47",96100,+39 0931 455111,+39 0931 715429,Syracuse,56,Sicily,3,Italy,Hotel Club,4,36.99085,15.26004
1023,Grand Hotel Capodimonte Sorrento,"Via Capo, 15",80067,+39 081 8784555,+39 081 8071193,Sorrento,100,Sorrento Coast,68,Italy,Hotel,4,40.62473,14.36511
1024,Grand Hotel De La Ville,"Via Bernardino Rota, 15",80067,+39 081 8782144,+39 081 8772201,Sorrento,100,Sorrento Coast,68,Italy,Hotel,4,40.6286,14.38193
1026,Grand Hotel Royal,"Via Correale, 42",80067,+39 081 8073434,+39 081 8772905,Sorrento,100,Sorrento Coast,68,Italy,Hotel,5,40.62837,14.37959
1027,Grand Hotel Ambasciatori,"Via Califano, 18",80067,+39 081 8782025,+39 081 8071021,Sorrento,100,Sorrento Coast,68,Italy,Hotel,5,40.63066,14.38283
1028,Hotel Antiche Mura,"Via Fuorimura, 7",80067,+39 081 8073523,+39 081 8071323,Sorrento,100,Sorrento Coast,68,Italy,Hotel,4,40.62509,14.37594
1030,Hilton Sorrento Palace,"Via Sant'Antonio, 13",80067,+39 081 8784141,+39 081 8783933,Sorrento,100,Sorrento Coast,68,Italy,Hotel,4,40.62088,14.37188
1032,Imperial Hotel Tramontano,"Via Vittorio Veneto, 1",80067,+39 081 8782588,+39 081 8072344,Sorrento,100,Sorrento Coast,68,Italy,Hotel,4,40.62775,14.37202
1034,Best Western Hotel La Solara,"Via Capo, 118",80067,+39 0815338000,+39 0818071501,Sorrento,100,Sorrento Coast,68,Italy,Hotel,4,40.62404,14.35243
1035,Hotel Michelangelo,"Corso Italia, 275",80067,+39 081 8784844,+39 081 8781816,Sorrento,100,Sorrento Coast,68,Italy,Hotel,4,40.62645,14.38145
1039,Hotel Villa Maria,"Via Capo, 8",80067,+39 081 8781966,+39 081 8071127,Sorrento,100,Sorrento Coast,68,Italy,Hotel,4,40.6241,14.36792
1040,Hotel Zi Teresa,"Vico III Rota, 3",80067,+39 081 8784619,+39 081 8072501,Sorrento,100,Sorrento Coast,68,Italy,Hotel,4,40.62772,14.38451
1043,Cala Rosa Club Hotel,"Via dei Ginepri, 25",07040,+39 079 520005,+39 079 520004,Stintino,205,Alghero & Vicinity,8942,Italy,Hotel Club,4,40.95066,8.22099
1044,Club Hotel Ancora,Lottizzazione Ancora,07040,+39 079 527085,+39 079 527087,Stintino,205,Alghero & Vicinity,8942,Italy,Hotel Club,4,40.95489,8.21879
1047,Sea Villas,Località Su Torrione,07040,+39 349 7256630,,Stintino,205,Alghero & Vicinity,8942,Italy,Residence,0,40.9112,8.20991
1048,Tenuta Su Vrau,Località su Vrau,08020,+39 0784 829010,+39 0784 829010,Posada,325,Olbia & Vicinity,6,Italy,Hotel,0,40.62419,9.69682
1049,Bw Signature Collection Hotel Paradiso,"Via Catullo, 11",80122,+39 081 2475111,+39 081 7613449,Posillipo,337,Naples & Vicinity,73,Italy,Hotel,4,40.82623,14.21749
1051,Hotel Ossidiana,Via Marina,98055,+39 090 986006,+39 090 986250,Stromboli Island,12,Sicily,3,Italy,Hotel,3,38.79913,15.2397
1052,La Sirenetta Park Hotel,Via Mons. A. Di Mattina,98050,+39 090 986025,+39 090 986124,Stromboli Island,12,Sicily,3,Italy,Hotel,4,38.80593,15.23689
1056,Vretreats Atlantis Bay,"Via Nazionale, 161",98030,+39 0942 612699,+39 0942 626237,Taormina,32,Sicily,3,Italy,Hotel,5,37.85777,15.29977
1062,Hotel Baia Azzurra,"Via Nazionale 114, 240",98039,+39 0942 23249,+39 0942 625499,Taormina,32,Sicily,3,Italy,Hotel,4,37.85578,15.30026
1063,Hotel Caparena,"Via Nazionale, 189",98039,+39 0942 652033,+39 0942 36913,Taormina,32,Sicily,3,Italy,Hotel,4,37.86868,15.29842
1065,Hotel Isabella,"Corso Umberto, 58",98039,+39 094223153,+39 094223155,Taormina,32,Sicily,3,Italy,Hotel,3,37.85331,15.28799
1068,Hotel Villa Bianca Resort,"Via Nazionale, 228",98039,+39 0942 24488,+39 0942 24632,Taormina,32,Sicily,3,Italy,Hotel,4,37.85488,15.30039
1069,Hotel Villa Diodoro,"Via Bagnoli Croce, 75",98039,+39 094223312,+39 094223391,Taormina,32,Sicily,3,Italy,Hotel,4,37.85057,15.29154
1070,Taormina Park Hotel,"Via Bagnoli Croci, 92",98030,+39 0942 626261,,Taormina,32,Sicily,3,Italy,Hotel,4,37.85065,15.29213
1074,Hotel Conca d'Oro,"Via Boscariello, 16",84017,+39 089 875111,+39 089 812009,Positano,143,Amalfi Coast,310,Italy,Hotel,4,40.62765,14.47987
1076,Hotel Eden Roc,"Via G.Marconi, 110",84017,+39 089 875844,+39 089 875552,Positano,143,Amalfi Coast,310,Italy,Hotel,4,40.62815,14.48997
1078,Le Agavi Hotel,"Via Marconi, 127",84017,+39 089 875733,+39 089 875965,Positano,143,Amalfi Coast,310,Italy,Hotel,5,40.62654,14.47867
1085,UNAHOTELS Capotaormina,"Via Nazionale, 105",98039,+39 0942 572111,+39 0942 625467,Taormina,32,Sicily,3,Italy,Hotel,4,37.8457,15.29697
1089,La Plage Resort,"Via Nazionale, 107/A",98039,+39 0942 626095,+39 0942 626097,Taormina,32,Sicily,3,Italy,Hotel,5,37.85156,15.29881
1091,Megaron Hotel,"Via Cristoforo Colombo, 166",97016,+39 0932799661,+39 0932798342,Pozzallo,66,Sicily,3,Italy,Hotel,3,36.72535,14.83871
1092,Il Gabbiano Hotel,"Via Marchesana, 4",98050,+39 090 9782343,+39 090 9743197,Terme Vigliatore - Marchesana Lido,291,Sicily,3,Italy,Hotel,3,38.14286,15.15252
1093,Anantara Palazzo Naiadi Rome,"Piazza della Repubblica, 47",00187,+39 06 489381,+39 06 48938000,Rome Termini Station,352,Rome,117,Italy,Hotel,5,41.90201,12.49591
1099,Terrasini 2000 Home Holidays,"Via Archimede, 18",90049,+39 0918681767,,Terrasini,318,Sicily,3,Italy,Case Vacanza,0,38.15251,13.08449
1104,Hotel Solcalante,"Via Serra, 1 bis",80079,+39 0818101856,+39 0818101777,Procida,60,Procida Island,70,Italy,Hotel,3,40.75988,14.01024
1105,La Suite Boutique Hotel,"Via Flavio Gioia, 81",80079,+39 081 8101564,,Procida,60,Procida Island,70,Italy,Hotel,4,40.76129,14.01292
1107,Canne Bianche Lifestyle Hotel,"Via Appia, 32",72010,+39 080 4829839,+39 080 4828098,Torre Canne di Fasano,11688,Central Apulia,76,Italy,Hotel,5,40.82974,17.47557
1108,Hotel del Levante,"Via Appia Antica, 20",72016,+39 080 4820160,+39 080 4820096,Torre Canne di Fasano,11688,Central Apulia,76,Italy,Hotel,4,40.83082,17.47369
1119,Parco dei Principi Resort Hotel & Spa,"Corso Annibale, 190",73059,+39 0833 931144,,Ugento,107,Salento,77,Italy,Hotel,4,39.896,18.10218
1123,Residence Miramare,Via Archimede,73040,+39 0833 1821540,+39 0833 1821538,Morciano di Leuca,88,Salento,77,Italy,Residence,0,39.83693,18.27406
1125,Hotel Baia di Nora,Loc. Su Guventeddu,09010,+39 070 9245551,+39 070 9245600,Pula,76,Cagliari & Vicinity,8943,Italy,Hotel,4,38.99319,9.01301
1126,Lantana Resort Hotel,"Viale Nora, 37",09010,+39 070 924411,+39 070 9246075,Pula,76,Cagliari & Vicinity,8943,Italy,Hotel,4,39.00403,9.00838
1127,Hotel San Paolo al Convento,"Via Statuti Marittimi, 111",70059,+39 0883 482949,+39 0883 487096,Trani,280,Central Apulia,76,Italy,Hotel,4,41.27843,16.42261
1131,B&B Villa Vittoria,"Via della Vittoria, 9",89861,+39 0963 666194,+39 0963 609811,Tropea,296,Calabria Tirrenian Sea,405,Italy,B&B,0,38.6758,15.8963
1133,Hotel Tropis,Contrada Fontana Nuova,89861,+39 0963 607162,+39 0963 1930140,Tropea,296,Calabria Tirrenian Sea,405,Italy,Hotel,4,38.6724,15.89735
1134,Hotel Villaggio L'Olivara,Localita Gasponi,89862,+39 0963 667802,+39 0963 370393,Tropea,296,Calabria Tirrenian Sea,405,Italy,Villaggio,3,38.66978,15.90286
1135,Residence Villaggio L'Olivara,Localita Gasponi,89862,+39 0963 667802,+39 0963 370393,Tropea,296,Calabria Tirrenian Sea,405,Italy,Villaggio,0,38.66978,15.90286
1136,Hotel Clelia,"Via Sindaco I, 29",90010,+39 091 8449039,+39 091 8449459,Ustica Island,233,Sicily,3,Italy,Hotel,3,38.70939,13.19254
1143,Hotel Italia,"Via Goffredo Mameli, 58/66",37126,+39 045 918088,+39 045 8348028,Verona,297,Verona,127,Italy,Hotel,3,45.45116,10.98992
1145,Hotel Palace Verona,"Via Luigi Galvani, 19",37138,+39 045 575700,+39 045 6762222,Verona,297,Verona,127,Italy,Hotel,4,45.445,10.96856
1151,Pizzomunno Vieste Palace Hotel,"Lungomare Enrico Mattei, km 1",71019,+39 0884 708741,+39 0884 707325,Vieste,15,Gargano,75,Italy,Hotel,5,41.87184,16.17393
1153,Hotel Pellegrino Palace,"Lungomare Enrico Mattei, 77",71013,+39 0884 707415,+39 0884 707329,Vieste,15,Gargano,75,Italy,Hotel,4,41.86875,16.17521
1157,Villaggio Turistico Defensola,Litoranea Vieste - Peschici Km 2,71019,+39 0884 706151,+39 0884 933762,Vieste,15,Gargano,75,Italy,Villaggio,3,41.89863,16.14774
1159,Lloyd's Baia Hotel,"Via Enrico de Marinis, 2",84019,+39 0897633111,+39 0897633633,Vietri sul Mare,171,Amalfi Coast,310,Italy,Hotel,4,40.67158,14.73421
1161,Hotel Conti,Via Porto Ponente,98050,+39 090 9852012,+39 090 9852064,Vulcano Island,10,Sicily,3,Italy,Hotel,3,38.41781,14.95608
1162,Hotel Eros,"Via Porto Levante, 64",90050,+39 090 9853265,+39 090 9853377,Vulcano Island,10,Sicily,3,Italy,Hotel,4,38.41837,14.9584
1163,Hotel Garden,Via Porto Ponente,98050,+39 0909587194,+39 090 9853342,Vulcano Island,10,Sicily,3,Italy,Hotel,4,38.41609,14.95426
1164,Orsa Maggiore Hotel,"Via Porto Ponente, 4",98050,+39 090 9852018,+39 090 9852415,Vulcano Island,10,Sicily,3,Italy,Hotel,3,38.41408,14.9494
1165,Hotel Rojas,Via Porto Levante,98050,+39 090 9852080,+39 090 9852080,Vulcano Island,10,Sicily,3,Italy,Hotel,3,38.41661,14.95872
1166,Hotel Les Sables Noirs & SPA,Via Porto di Ponente,98050,+39 090 9850,+39 090 9852454,Vulcano Island,10,Sicily,3,Italy,Hotel,4,38.41843,14.95637
1167,Mari del Sud Resort,C.da Porto Ponente,98050,+39 090 9852811,+39 090 9852833,Vulcano Island,10,Sicily,3,Italy,Hotel,4,38.41601,14.95292
1168,Residence Vulcano Blu,Via Ville di Levante,98050,+39 090 9852025,+39 090 9852359,Vulcano Island,10,Sicily,3,Italy,Residence,0,38.42437,14.96618
1169,Therasia Resort Sea & Spa,Loc. Vulcanello,98050,+39 090 9852555,+39 090 9852154,Vulcano Island,10,Sicily,3,Italy,Hotel,5,38.43072,14.95731
1171,Cruccuris Resort,"Via Cruccuris, 17",09049,+39 070 7989020,+39 070 7989018,Villasimius,140,Cagliari & Vicinity,8943,Italy,Hotel,4,39.14535,9.48482
1172,Hotel Cormoran,"Via del Porto, 37",09049,+39 070 79340,+39 070 798131,Villasimius,140,Cagliari & Vicinity,8943,Italy,Hotel,4,39.13704,9.48654
1173,Hotel Cala Caterina,"Via Lago Maggiore, 32",09049,+39 070 798029,+39 070 797473,Villasimius,140,Cagliari & Vicinity,8943,Italy,Hotel,4,39.10782,9.5118
1174,Hotel Stella Maris,"Via dei Cedri, 3",09049,+39 070 797100,+39 070 797367,Villasimius,140,Cagliari & Vicinity,8943,Italy,Hotel,4,39.12738,9.50872
1175,S'Incantu Resort Villasimius,Via dei Tamerici,09049,+39 0707730752,+39 0707731752,Villasimius,140,Cagliari & Vicinity,8943,Italy,Residence,0,39.12779,9.51383
1179,Hotel Sierra Silvana,"Via Don Bartolo Boggia, 5",72010,+39 080 4331322,+39 080 4331207,Fasano,27,Central Apulia,76,Italy,Hotel,4,40.82706,17.32071
1180,Tenuta Monacelle,Contrada Aratico,72010,+39 080 9309942,,Fasano,27,Central Apulia,76,Italy,Masseria,0,40.83506,17.31036
1181,Hotel Tempo di Mare,"Via Frascia, 6",91023,+39 0923 922474,+39 0923 921621,Favignana Island,231,Sicily,3,Italy,Hotel,4,37.9341,12.33127
1186,ApartHotel Anghel,"Via Paolo Frajese, 71/73",53100,+39 0577281676,+39 0577271347,Siena,270,Tuscany,396,Italy,Appartamento,0,43.30943,11.31564
1188,Hotel Mediterraneo Sant'Agnello,"Corso Marion Crawford, 85",80065,+39 081 8781352,+39 081 8781581,Sant'Agnello,109,Sorrento Coast,68,Italy,Hotel,5,40.63465,14.39063
1191,Hotel Lidomare,"Largo Piccolomini, 9",84010,+39 089 871332,+39 089 871394,Amalfi,151,Amalfi Coast,310,Italy,Hotel,3,40.63406,14.60208
1193,L'Araba Fenice Hotel & Resort,"Via Falagata, 39",84045,+39 08281992328,+39 08281992642,Altavilla Silentina,257,Cilento,72,Italy,Hotel,5,40.52217,15.07414
1194,Hotel Punta Negra,"Regione Punta Negra C.P, 24",07041,+39 079930222,+39 079930642,Alghero,206,Alghero & Vicinity,8942,Italy,Hotel,4,40.59375,8.27502
1195,Calaserena Village,Località Geremeas,09040,+39 085 8369777,+39 085 7992161,Maracalagonis - Geremeas,85,Cagliari & Vicinity,8943,Italy,Hotel Club,4,39.16799,9.38308
1197,Club Esse Shardana,Loc Santa Teresa di Gallura,07028,+39 0645439344,,Santa Teresa di Gallura,198,Olbia & Vicinity,6,Italy,Hotel,4,41.23102,9.16671
1201,Tenuta Moreno,C.da Moreno S.S. 7,72023,+39 0831774960,+39 0831721487,Mesagne,45,Salento,77,Italy,Masseria,4,40.57241,17.75256
1202,Naturalis Bio Resort & Spa,Via Traglia,73025,+39 349 8251363,+39 0836 574819,Martano,64,Salento,77,Italy,Masseria,0,40.21707,18.30527
1203,Relais Valle dell'Idro,"Via G. Grasso, 4",73028,+39 0836 804427,+39 0836 804532,Otranto,79,Salento,77,Italy,Hotel,4,40.14301,18.48722
1208,Relais Corte Palmieri,"Corte Palmieri, 3",73014,+39 0833 265318,+39 0833 265052,Gallipoli,119,Salento,77,Italy,Hotel,0,40.05623,17.97636
1210,Trulli e Puglia Resort,via Monte San Michele 58/60,70011,+39 080 4324376,+39 080 4324376,Alberobello,29,Central Apulia,76,Italy,Hotel,0,40.78164,17.23666
1224,Popilia Country Resort,Località Cutà,89843,+39 0963 264252,+39 0963 264784,Maierato,159,Calabria Tirrenian Sea,405,Italy,Hotel,4,38.75004,16.21005
1228,Capovaticano Resort Thalasso SPA,Località Tono,89865,+39 0963 665760,+39 0963 663266,Capo Vaticano,663,Calabria Tirrenian Sea,405,Italy,Hotel,4,38.62899,15.83155
1232,Villaggio L'Oasi,Contrada Fratte,88841,+39 0962 791628,+39 0962 797002,Isola di Capo Rizzuto,173,Calabria Ionian Sea,406,Italy,Villaggio,4,38.9285,17.12739
1236,Grand Hotel Excelsior,"Via Vittorio Veneto, 66",89123,+39 0965 812211,+39 0965 893084,Reggio Calabria,227,Reggio Calabria & Vicinity,106,Italy,Hotel,4,38.11496,15.65085
1238,Hotel San Pietro,"Via Nuova Chiunzi, 147",84010,+39 089 877220,+39 089 877025,Maiori,167,Amalfi Coast,310,Italy,Hotel,4,40.65397,14.64282
1243,VOI Tanka Village,"Viale degli Oleandri, 7",09049,+39 070 79351,,Villasimius,140,Cagliari & Vicinity,8943,Italy,Hotel Club,4,39.12492,9.52412
1244,La Tonnara di Bonagia,Piazza Tonnara di Bonagia,91010,+39 0923 431111,+39 0923 592177,Valderice - Bonagia,112,Sicily,3,Italy,Hotel,4,38.06762,12.59533
1261,Hotel Exclusive,"Via Acrone, 15",92100,+39 0922 594275,,Agrigento,91,Sicily,3,Italy,Hotel,4,37.30866,13.58451
1266,C-Hotels Club House Roma,"Via Andrea Alciato, 14/16",00167,+39 06 6631841,+39 06 66016457,Aurelio,423,Rome,117,Italy,Hotel,4,41.90430547,12.42667404
1268,Park Hotel Elizabeth,Km. 11.300 Strada Provinciale Mellito,70032,+39 080 3756983,,Bitonto,10996,Central Apulia,76,Italy,Hotel,4,41.02899,16.54845
1270,Hotel Amadeus,"Lista di Spagna, 227",30121,+39 0412206000,+39 041.2206020,Cannaregio,358,Venice,128,Italy,Hotel,4,45.44271,12.32425
1271,Bw Premier Collection Chc Continental Venice,"Cannaregio, 166",30121,+39 041 715122,+39 041 5242432,Cannaregio,358,Venice,128,Italy,Hotel,4,45.44224,12.32387
1272,Hotel Principe,"Lista di Spagna, 146",30121,+39 0412204000,+39 0412204020,Cannaregio,358,Venice,128,Italy,Hotel,4,45.44186,12.32369
1276,Best Western Hotel Mediterraneo,"Via Dottor Consoli, 27",95124,+39 0953 25330,+39 0957 151818,Catania,54,Sicily,3,Italy,Hotel,3,37.50967,15.07862
1277,Il Principe Hotel Catania,"Via Alessi, 24",95124,+39 095 2500345,+39 095 325799,Catania,54,Sicily,3,Italy,Hotel,4,37.50392,15.08616
